,question,sql
6573,"How many points for the ferrari v12 engine and ferrari 1512 chassis, after 1965?",SELECT MAX Pts. FROM table WHERE Engine = ferrari v12 AND Chassis = ferrari 1512 AND Year > 1965
6574,"What is the least Bodyweight for the Clean & jerk of 145.0, and a Snatch smaller than 122.5?",SELECT MIN Bodyweight FROM table WHERE Clean & jerk = 145.0 AND Snatch < 122.5
6575,How many gb's have an iso number of cn-65?,SELECT COUNT GB FROM table WHERE ISO № = CN-65
6576,What was the largest crowd when the away team scored 2.19 (31)?,SELECT MAX Crowd FROM table WHERE Away team score = 2.19 (31)
6577,what was the total crowd in the game where the home teams score was 18.12 (120),SELECT MIN Crowd FROM table WHERE Home team score = 18.12 (120)
6578,what is distance for the 7th position?,SELECT COUNT Distance FROM table WHERE Position = 7th
6579,Which Week has an Opponent of san francisco 49ers?,SELECT MAX Week FROM table WHERE Opponent = san francisco 49ers
6580,"what is the lowest solo when assisted is less than 10, td's is 0, sack is less than 3 and yards is more than 5?",SELECT MIN Solo FROM table WHERE Assisted < 10 AND TD's = 0 AND Sack < 3 AND Yards > 5
6581,How many casinos are associated with a FY2009 $mil value of exactly $279?,SELECT COUNT Casinos FROM table WHERE FY09 $millions = $279
6582,What was the latest year that resulted in won?,SELECT MAX Year FROM table WHERE Result = won
6583,Which lowest goals for number had a played number of less than 34?,SELECT MIN Goals for FROM table WHERE Played < 34
6584,What is the number of contestants who are aged exactly 18?,SELECT COUNT Contestant FROM table WHERE Age = 18
6585,What was Rudy Harris' pick number in round 4?,SELECT MAX Pick FROM table WHERE Round = round 4 AND Player = rudy harris
6586,Name the least series number with production code of 717 and season number less than 17,SELECT MIN Series # FROM table WHERE Production code = 717 AND Season # < 17
6587,"What is the number of contestants who are 5'7"" and exactly 26 years of age?","SELECT COUNT Contestant FROM table WHERE Height (ft) = 5'7"" AND Age = 26"
6588,"what is the highest td's when the sack is less than 13, tackles is less than 8 and yards is less than 0?",SELECT MAX TD's FROM table WHERE Sack < 13 AND Tackles < 8 AND Yards < 0
6589,What are panoz motor sports' lowest number of laps before 2002?,SELECT MIN Laps FROM table WHERE Team = panoz motor sports AND Year < 2002
6590,How many games were played on november 27?,SELECT COUNT Record FROM table WHERE Date = November 27
6591,Which highest 'goals against' number had wins of 19 and a 'goals for' number that was bigger than 53?,SELECT MAX Goals against FROM table WHERE Wins = 19 AND Goals for > 53
6592,What is the lowest number of bronze medals for nations with over 6 total and 2 golds?,SELECT MIN Bronze FROM table WHERE Gold = 2 AND Total > 6
6593,How many rounds did João Victor Horto achieved the fastest lap?,SELECT COUNT Round FROM table WHERE Fastest lap = João Victor Horto
6594,Which 2005 has a Güzelçamlı’s Lost Panther of the muse?,SELECT MAX 2005 FROM table WHERE Güzelçamlı’s Lost Panther = the muse
6595,What is the least amount of games for Luis scola with a rank greater than 1?,SELECT MIN Games FROM table WHERE Rank > 1 AND Name = luis scola
6596,How many rounds did Alex Ardoin achieved a fastest lap?,SELECT COUNT Round FROM table WHERE Fastest lap = Alex Ardoin
6597,what is the highest year that the U.S. captain is ken venturi?,SELECT MAX Year FROM table WHERE U.S. Captain = ken venturi
6598,What is the lowest attendance last year when more than 176 were hosted?,SELECT MIN Last Year FROM table WHERE Hosted > 176
6599,How many time is the theme rotary international : 100 years in canada?,SELECT COUNT Printing Process FROM table WHERE Theme = Rotary International : 100 Years in Canada
6600,What is the largest crowd with a Home team score of 9.17 (71)?,SELECT MAX Crowd FROM table WHERE Home team score = 9.17 (71)
6601,"Which is the lowest 1980 growth that had 2,610 in 1970?","SELECT MIN 1980 FROM table WHERE 1970 = 2,610"
6602,How many times is the theme roadside attractions: wawa goose?,SELECT COUNT Quantity FROM table WHERE Theme = Roadside Attractions: Wawa Goose
6603,what was the attendance at the home venue with result w 3-1?,SELECT MAX Attendance FROM table WHERE Venue = home AND Result = w 3-1
6604,What was the smallest crowd at junction oval?,SELECT MIN Crowd FROM table WHERE Venue = junction oval
6605,How many picks are there with an affiliation is the University of California Norcal Lamorinda United?,SELECT COUNT Pick # FROM table WHERE Affiliation = University of California NorCal Lamorinda United
6606,"What is the highest Quantity for PTRD Nos. 3, 15?","SELECT MAX Quantity FROM table WHERE PTRD Nos. = 3, 15"
6607,"When is the earliest year for it is in barcelona, spain?","SELECT MIN Year FROM table WHERE Venue = barcelona, spain"
6608,How many players have an affiliation with University of Maryland?,SELECT COUNT Player FROM table WHERE Affiliation = University of Maryland
6609,What is the high lap total that has a grid of less than 4 and a Time/Retired of + 1 lap?,SELECT MAX Laps FROM table WHERE Grid < 4 AND Time/Retired = + 1 lap
6610,Which pick was MIchael Holper?,SELECT MIN Pick FROM table WHERE Player = michael holper
6611,Name the horizontal number for number 10,SELECT COUNT Horizontal 0 a FROM table WHERE Number = 10
6612,What is the highest number of games won where less than 21 games were conceded and less than 18 games were actually played?,SELECT MAX Won (PG) FROM table WHERE Goals Conceded (GC) < 21 AND Played (PJ) < 18
6613,Which United States player from Hawaii-Hilo had the lowest pick?,SELECT MIN Pick FROM table WHERE Country of origin* = united states AND College = hawaii-hilo
6614,How many teams drafted players from the University of Maryland?,SELECT COUNT MLS Team FROM table WHERE Affiliation = University of Maryland
6615,Tell me the most crowd for arden street oval venue,SELECT MAX Crowd FROM table WHERE Venue = arden street oval
6616,Which Year has a Date of 14 February?,SELECT MIN Year FROM table WHERE Date = 14 february
6617,"How many inputs joined this institution located in Franklin, Indiana?","SELECT COUNT Joined FROM table WHERE Location = Franklin, Indiana"
6618,What's the highest level of team Astana since 2007?,SELECT MAX Level FROM table WHERE Team = astana AND Season > 2007
6619,What is the lowest attendance on November 18?,SELECT MIN Attendance FROM table WHERE Date = november 18
6620,How many times this institution was founded that was nicknamed Beavers?,SELECT COUNT Founded FROM table WHERE Nickname = Beavers
6621,What is the largest crowd for North Melbourne home games?,SELECT MAX Crowd FROM table WHERE Home team = north melbourne
6622,Tell me the total for silver more than 0 for italy with gold less than 29,SELECT MIN Total FROM table WHERE Silver > 0 AND Nation = italy AND Gold < 29
6623,Name the year for open cup did not qualify and national final,SELECT COUNT Year FROM table WHERE Open Cup = Did not qualify AND Playoffs = National Final
6624,Name the highest game for west (8) high assists,SELECT MAX Game FROM table WHERE High assists = west (8)
6625,What is the lowest total when the Bronze metals are larger than 0 and the nation is France (fra)?,SELECT MIN Total FROM table WHERE Bronze > 0 AND Nation = france (fra)
6626,Name the total number of tests won by australia for series 10,SELECT COUNT Tests won by Australia FROM table WHERE Series = 10
6627,"What year had an issue price of $2,995.95, and a theme of grizzly bear?","SELECT MAX Year FROM table WHERE Issue Price = $2,995.95 AND Theme = grizzly bear"
6628,"When is the earliest season at waverley park, a Score of 15.12 (102) – 9.14 (68), and a Margin larger than 34?",SELECT MIN Season FROM table WHERE Venue = waverley park AND Score = 15.12 (102) – 9.14 (68) AND Margin > 34
6629,How many winners were there when the mountains classification was not awarded? ,SELECT COUNT Winner FROM table WHERE Mountains classification = not awarded
6630,What is the highest silver medal count when there is 1 Bronze medal and 1 Gold medal?,SELECT MAX Silver FROM table WHERE Bronze = 1 AND Gold = 1
6631,How low was the attendance at the game that ended with a home team score of 16.13 (109)?,SELECT MIN Crowd FROM table WHERE Home team score = 16.13 (109)
6632,List the number of episodes directed by linda mendoza.,SELECT COUNT Production code FROM table WHERE Directed by = Linda Mendoza
6633,How many total wins do the Texas Tech Red Raiders have including the 7 regular season wins?,SELECT MAX Total FROM table WHERE Team = texas tech red raiders AND Regular Season > 7
6634,How many losses did the East Division have who appeared 18 times and lost 8?,SELECT MIN Wins FROM table WHERE Division = east AND Losses = 8 AND Appearances < 18
6635,What is the population density where area is 48.67?,SELECT COUNT Pop. density (per km²) FROM table WHERE Area (km²) = 48.67
6636,What is the high capacity that has an average under 489 and a highest over 778?,SELECT MAX Capacity FROM table WHERE Average < 489 AND Highest > 778
6637,What is the smallest population in a region greater than 9?,SELECT MIN Population FROM table WHERE Region > 9
6638,How many elapsed times were posted for the yacht with 27.38 LOA meters? ,SELECT COUNT Elapsed time d:hh:mm:ss FROM table WHERE LOA (Metres) = 27.38
6639,What is the largest base pair with a Strain of unspecified?,SELECT MAX Base Pairs FROM table WHERE Strain = unspecified
6640,"What is the lowst base pair with a Species of borrelia garinii, and a Genes larger than 832?",SELECT MIN Base Pairs FROM table WHERE Species = borrelia garinii AND Genes > 832
6641,How many winners were there for stage 5?,SELECT COUNT Winner FROM table WHERE Stage = 5
6642,"What is the highest season number with 57 draws, rank 20, and more than 1 spell?",SELECT MAX Seasons FROM table WHERE Drawn = 57 AND Rank = 20 AND Spells > 1
6643,What is the lowest played 2 number with less than 83 losses and less than 65 draws with Chernomorets Novorossiysk in season 8?,SELECT MIN Played 2 FROM table WHERE Lost > 83 AND Seasons = 8 AND Club 1 = chernomorets novorossiysk AND Drawn < 65
6644,What is the 2007 population of Gigmoto?,SELECT COUNT Population (2007) FROM table WHERE Municipality = Gigmoto
6645,Tell me the highest goals with tries less than 1 and fullback position,SELECT MAX Goals FROM table WHERE Tries < 1 AND Position = fullback
6646,Tell me the lowest tries for goals more than 0 with centre position and points less than 54,SELECT MIN Tries FROM table WHERE Goals > 0 AND Position = centre AND Points < 54
6647,How many races was Loki in?,SELECT COUNT Race number FROM table WHERE Yacht = Loki
6648,"What is the most recent built year when the year of entering service was more recent than 2003, and the knots is less than 27?",SELECT MAX Built FROM table WHERE Entered service > 2003 AND Knots < 27
6649,What is the least number of people to attend a game when Los Angeles was the home team?,SELECT MIN Attendance FROM table WHERE Home = los angeles
6650,How many states is Grant Wharington from?,SELECT COUNT State/Country FROM table WHERE Skipper = Grant Wharington
6651,What was the highest average for the contestant having an interview score of 8.46?,SELECT MAX Average FROM table WHERE Interview = 8.46
6652,What is the low no result with more than 5 loss and a win ration lesser than 58.06?,SELECT MIN No result FROM table WHERE Lost > 5 AND % win [A ] < 58.06
6653,How many times are provided for the boat with LOA of 20.49?,SELECT COUNT Elapsed Time d:hh:mm:ss FROM table WHERE LOA (Metres) = 20.49
6654,What is Rhett Mclane's highest pick number?,SELECT MAX Pick # FROM table WHERE Player = rhett mclane
6655,What is Colorado College's lowest pick number?,SELECT MIN Pick # FROM table WHERE College = colorado
6656,The date first lit is 1853 total number of current status.,SELECT COUNT Current Status FROM table WHERE Date First Lit = 1853
6657,What is the high total for nations with 1 gold and over 1 bronze?,SELECT MAX Total FROM table WHERE Gold = 1 AND Bronze > 1
6658,"What is the lowest round for Fort Lauderdale, Florida, United States, with a win and a time of 3:38?","SELECT MIN Round FROM table WHERE Res. = win AND Location = fort lauderdale, florida, united states AND Time = 3:38"
6659,How many episodes directed by david carson?,SELECT COUNT No. in season FROM table WHERE Directed by = David Carson
6660,What is the highest of a player with asts fewer than 0?,SELECT MAX From FROM table WHERE Asts < 0
6661,What is the lowest Grid with fewer than 65 Laps and with Driver Tim Schenken?,SELECT MIN Grid FROM table WHERE Laps < 65 AND Driver = tim schenken
6662,How many populations are listed for mladenovo? ,SELECT COUNT Population (2011) FROM table WHERE Settlement = Mladenovo
6663,What is the highest YARDS with a TCKL more than 51 and less than 2 SACK?,SELECT MAX YARDS FROM table WHERE TCKL > 51 AND SACK < 2
6664,What is the low silver medal total for nations with over 1 bronze ranked above 11?,SELECT MIN Silver FROM table WHERE Bronze > 1 AND Rank < 11
6665,How many 2011 populations have a Cyrillic name of футог?,SELECT COUNT Population (2011) FROM table WHERE Cyrillic Name = Футог
